exit_code: 0
WROTE
PAGES: 108
01-how-to-read-your-electric-bill | /images/articles/01-how-to-read-your-electric-bill/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/01-how-to-read-your-electric-bill/custom_hero.webp | 1406.2 KB
22-minimum-bill-utility-bill-explained | /images/articles/22-minimum-bill-utility-bill-explained/22-minimum-bill-utility-bill-explained_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/22-minimum-bill-utility-bill-explained/22-minimum-bill-utility-bill-explained_hero_v2.webp | 1406.2 KB
23-utility-billing-cycle-explained | /images/articles/23-utility-billing-cycle-explained/23-utility-billing-cycle-explained_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/23-utility-billing-cycle-explained/23-utility-billing-cycle-explained_hero_v2.webp | 1406.2 KB
24-delivery-charge-vs-supply-charge-utility-bill | /images/articles/24-delivery-charge-vs-supply-charge-utility-bill/24-delivery-charge-vs-supply-charge-utility-bill_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/24-delivery-charge-vs-supply-charge-utility-bill/24-delivery-charge-vs-supply-charge-utility-bill_hero_v2.webp | 1406.2 KB
25-utility-bill-taxes-fees-franchise-charges-explained | None | 3 | 0 / 3 | https://utilityexplained.com/images/articles/25-utility-bill-taxes-fees-franchise-charges-explained/25-utility-bill-taxes-fees-franchise-charges-explained_hero_v2.webp | 0 KB
26-utility-deposit-explained | /images/articles/26-utility-deposit-explained/26-utility-deposit-explained_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/26-utility-deposit-explained/26-utility-deposit-explained_hero_v2.webp | 1406.2 KB
27-utility-connection-fee-explained | /images/articles/utility-connection-fee-explained/image.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/utility-connection-fee-explained/image.webp | 1406.2 KB
28-utility-reconnection-fee-explained | /images/articles/28-utility-reconnection-fee-explained/28-utility-reconnection-fee-explained_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/28-utility-reconnection-fee-explained/28-utility-reconnection-fee-explained_hero_v2.webp | 1406.2 KB
29-why-is-my-electric-bill-so-high-2026 | None | 0 | 0 / 0 | None | 0 KB
30-sudden-spike-in-electricity-bill-no-usage | /images/articles/30-sudden-spike-in-electricity-bill-no-usage/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/30-sudden-spike-in-electricity-bill-no-usage/custom_hero.webp | 1406.2 KB
41-how-to-read-electricity-bill | None | 0 | 0 / 0 | None | 0 KB
42-best-energy-efficient-space-heater | /images/articles/42-best-energy-efficient-space-heater/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/42-best-energy-efficient-space-heater/custom_hero.webp | 1406.2 KB
43-understand-natural-gas-bill-charges | /images/articles/43-understand-natural-gas-bill-charges/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/43-understand-natural-gas-bill-charges/custom_hero.webp | 1406.2 KB
44-how-to-lower-water-bill | /images/articles/44-how-to-lower-water-bill/44-how-to-lower-water-bill_hero_v2.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/44-how-to-lower-water-bill/44-how-to-lower-water-bill_hero_v2.webp | 1406.2 KB
45-whole-house-generator-vs-portable-cost | /images/articles/45-whole-house-generator-vs-portable-cost/45-whole-house-generator-vs-portable-cost_hero_v2.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/45-whole-house-generator-vs-portable-cost/45-whole-house-generator-vs-portable-cost_hero_v2.webp | 1406.2 KB
46-what-time-is-electricity-cheapest | /images/articles/46-what-time-is-electricity-cheapest/custom_hero.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/46-what-time-is-electricity-cheapest/custom_hero.webp | 1406.2 KB
47-check-energy-leaks-home-diy | /images/articles/47-check-energy-leaks-home-diy/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/47-check-energy-leaks-home-diy/custom_hero.webp | 1406.2 KB
48-heat-pump-vs-gas-furnace-savings | /images/articles/48-heat-pump-vs-gas-furnace-savings/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/48-heat-pump-vs-gas-furnace-savings/custom_hero.webp | 1406.2 KB
49-demand-charges-electricity-bill-explained | /images/articles/49-demand-charges-electricity-bill-explained/49-demand-charges-electricity-bill-explained_hero_v2.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/49-demand-charges-electricity-bill-explained/49-demand-charges-electricity-bill-explained_hero_v2.webp | 1406.2 KB
50-best-smart-plugs-standby-power | /images/articles/50-best-smart-plugs-standby-power/50-best-smart-plugs-standby-power_hero_v2.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/50-best-smart-plugs-standby-power/50-best-smart-plugs-standby-power_hero_v2.webp | 1406.2 KB
7-states-with-worst-utility-spikes-2026 | None | 0 | 0 / 0 | None | 0 KB
ac-running-but-not-cooling | /images/articles/ac-running-but-not-cooling/ac-running-but-not-cooling_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/ac-running-but-not-cooling/ac-running-but-not-cooling_hero_v2.webp | 1406.2 KB
afue-vs-seer-vs-hspf-vs-cop | /images/articles/afue-vs-seer-vs-hspf-vs-cop/afue-vs-seer-vs-hspf-vs-cop_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/afue-vs-seer-vs-hspf-vs-cop/afue-vs-seer-vs-hspf-vs-cop_hero_v2.webp | 1406.2 KB
aux-heat-vs-emergency-heat-meaning | /images/articles/aux-heat-vs-emergency-heat-meaning/aux-heat-vs-emergency-heat-meaning_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/aux-heat-vs-emergency-heat-meaning/aux-heat-vs-emergency-heat-meaning_hero_v2.webp | 1406.2 KB
average-utility-bills-by-state-2026 | None | 0 | 0 / 0 | None | 0 KB
average-water-usage-per-person | /images/articles/average-water-usage-per-person/average-water-usage-per-person_hero_v2.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/average-water-usage-per-person/average-water-usage-per-person_hero_v2.webp | 1406.2 KB
can-utility-shut-off-service | /images/articles/can-utility-shut-off-service/img-1.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/can-utility-shut-off-service/img-1.webp | 1406.2 KB
ccf-calculator | None | 3 | 0 / 3 | https://utilityexplained.com/images/og-default.png | 0 KB
complete-guide-understanding-utility-bill | /images/articles/complete-guide-understanding-utility-bill/complete-guide-understanding-utility-bill_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/complete-guide-understanding-utility-bill/complete-guide-understanding-utility-bill_hero_v2.webp | 1406.2 KB
demand-charge-electric-bill-explained | None | 0 | 0 / 0 | None | 0 KB
do-programmable-thermostats-cut-heating-bills | /images/articles/do-programmable-thermostats-cut-heating-bills/custom_hero.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/do-programmable-thermostats-cut-heating-bills/custom_hero.webp | 1406.2 KB
drought-surcharge-on-water-bill-explained | /images/articles/drought-surcharge-on-water-bill-explained/drought-surcharge-on-water-bill-explained_hero_v2.webp | 2 | 1 / 3 | https://utilityexplained.com/images/articles/drought-surcharge-on-water-bill-explained/drought-surcharge-on-water-bill-explained_hero_v2.webp | 1406.2 KB
duct-leaks-symptoms-hvac-running-all-day | /images/articles/duct-leaks-symptoms-hvac-running-all-day/duct-leaks-symptoms-hvac-running-all-day_hero_v2.webp | 3 | 1 / 4 | https://utilityexplained.com/images/articles/duct-leaks-symptoms-hvac-running-all-day/duct-leaks-symptoms-hvac-running-all-day_hero_v2.webp | 1406.2 KB

[harness: this command modified 2 file(s) on disk — recorded in your ground-truth log]
